YEAR,MO,DA,HR,LAT,LON,CO201500,CO01500
2015,9,22,6,-1.0020,103.7520,0.1350E-06,0.0000E+00
2015,9,22,6,-0.9520,103.7520,0.1350E-06,0.0000E+00
2015,9,22,6,-1.9020,103.8020,0.8339E-07,0.1244E-07
2015,9,22,6,-1.8520,103.8020,0.3836E-05,0.4044E-06
2015,9,22,6,-1.8020,103.8020,0.6154E-05,0.5453E-06
2015,9,22,6,-1.7520,103.8020,0.2518E-05,0.3048E-06
2015,9,22,6,-1.7020,103.8020,0.1934E-05,0.1908E-06
2015,9,22,6,-1.6520,103.8020,0.4319E-05,0.4582E-06
2015,9,22,6,-1.6020,103.8020,0.3285E-05,0.6262E-06
2015,9,22,6,-1.5520,103.8020,0.2518E-05,0.3297E-06
2015,9,22,6,-1.5020,103.8020,0.1451E-05,0.1327E-06
2015,9,22,6,-1.4520,103.8020,0.2501E-06,0.1866E-07
2015,9,22,6,-1.4020,103.8020,0.4002E-06,0.4602E-07
2015,9,22,6,-1.3520,103.8020,0.2751E-06,0.1449E-06
2015,9,22,6,-1.3020,103.8020,0.4952E-06,0.1306E-06
2015,9,22,6,-1.2520,103.8020,0.9954E-06,0.1057E-06
2015,9,22,6,-1.2020,103.8020,0.8753E-06,0.6592E-07
2015,9,22,6,-1.1520,103.8020,0.8853E-06,0.1866E-07
2015,9,22,6,-1.1020,103.8020,0.0000E+00,0.6219E-07
2015,9,22,6,-1.0520,103.8020,0.0000E+00,0.6219E-08
2015,9,22,6,-1.9020,103.8520,0.3502E-05,0.5288E-06
2015,9,22,6,-1.8520,103.8520,0.5187E-05,0.5122E-06
2015,9,22,6,-1.8020,103.8520,0.1534E-05,0.2074E-06
2015,9,22,6,-1.7520,103.8520,0.1101E-05,0.1306E-06
2015,9,22,6,-1.7020,103.8520,0.5653E-05,0.5578E-06
2015,9,22,6,-1.6520,103.8520,0.4019E-05,0.4686E-06
2015,9,22,6,-1.6020,103.8520,0.1501E-05,0.1306E-06
2015,9,22,6,-1.5520,103.8520,0.4169E-06,0.2903E-07
2015,9,22,6,-1.5020,103.8520,0.1001E-06,0.1866E-07
2015,9,22,6,-1.4520,103.8520,0.1501E-06,0.7256E-07
2015,9,22,6,-1.4020,103.8520,0.6003E-06,0.2177E-06
2015,9,22,6,-1.3520,103.8520,0.1125E-05,0.1901E-06
2015,9,22,6,-1.3020,103.8520,0.1376E-05,0.1542E-06
2015,9,22,6,-1.2520,103.8520,0.1551E-05,0.1269E-06
2015,9,22,6,-1.2020,103.8520,0.9504E-06,0.3731E-07
2015,9,22,6,-1.1520,103.8520,0.1501E-06,0.9328E-07
2015,9,22,6,-1.1020,103.8520,0.0000E+00,0.4353E-07
2015,9,22,6,-1.0520,103.8520,0.1000E-06,0.1244E-07
2015,9,22,6,-1.9520,103.9020,0.3002E-05,0.5081E-06
2015,9,22,6,-1.9020,103.9020,0.2168E-05,0.2592E-06
2015,9,22,6,-1.8520,103.9020,0.8339E-07,0.0000E+00
2015,9,22,6,-1.8020,103.9020,0.1084E-05,0.1140E-06
2015,9,22,6,-1.7520,103.9020,0.6421E-05,0.6532E-06
2015,9,22,6,-1.7020,103.9020,0.1751E-05,0.1659E-06
2015,9,22,6,-1.6520,103.9020,0.8338E-07,0.0000E+00
2015,9,22,6,-1.5520,103.9020,0.0000E+00,0.2281E-07
2015,9,22,6,-1.5020,103.9020,0.2835E-06,0.7256E-07
2015,9,22,6,-1.4520,103.9020,0.5919E-06,0.3566E-06
2015,9,22,6,-1.4020,103.9020,0.1859E-05,0.2954E-06
2015,9,22,6,-1.3520,103.9020,0.2143E-05,0.2768E-06
2015,9,22,6,-1.3020,103.9020,0.1601E-05,0.1710E-06
2015,9,22,6,-1.2520,103.9020,0.3501E-06,0.1318E-06
